"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"264",9,"Ty Johnson",BUF,"RB78","7","-","-","2 out of 5 stars","+21"
"265",9,"Chris Boswell",PIT,"K15","9","4 out of 5","2 out of 5","4 out of 5 stars","-60"
"266",9,"LeQuint Allen Jr.",JAC,"RB79","7","2 out of 5","4 out of 5","4 out of 5 stars","+47"
"267",9,"Tyquan Thornton",KC,"WR94","5","2 out of 5","5 out of 5","2 out of 5 stars","-"
"268",9,"Chimere Dike",TEN,"WR95","9","1 out of 5","5 out of 5","3 out of 5 stars","-"
"269",9,"Kirk Cousins",LV,"QB32","13","2 out of 5","4 out of 5","1 out of 5 stars","-9"
"270",9,"Wil Lutz",DEN,"K16","10","-","-","1 out of 5 stars","-31"
"271",9,"Malik Davis",DAL,"RB80","14","-","-","4 out of 5 stars","+38"
"272",9,"Michael Penix Jr.",ATL,"QB33","11","2 out of 5","5 out of 5","4 out of 5 stars","-14"
"273",9,"Darius Slayton",NYG,"WR96","8","3 out of 5","4 out of 5","4 out of 5 stars","-"
"274",9,"Caleb Douglas",MIA,"WR97","6","2 out of 5","4 out of 5","3 out of 5 stars","-49"
"275",9,"DJ Giddens",IND,"RB81","13","2 out of 5","4 out of 5","4 out of 5 stars","-"
"276",9,"Christian Kirk",SF,"WR98","8","3 out of 5","4 out of 5","2 out of 5 stars","-3"
"277",9,"Deshaun Watson",CLE,"QB34","11","2 out of 5","5 out of 5","4 out of 5 stars","-26"
"278",9,"Xavier Legette",CAR,"WR99","5","2 out of 5","4 out of 5","2 out of 5 stars","-"
"279",9,"Will Reichard",MIN,"K17","6","-","-","2 out of 5 stars","-75"
"280",9,"Shedeur Sanders",CLE,"QB35","11","3 out of 5","4 out of 5","4 out of 5 stars","-15"
"281",9,"Mason Taylor",NYJ,"TE33","13","1 out of 5","4 out of 5","4 out of 5 stars","-"
"282",9,"Seth McGowan",IND,"RB82","13","4 out of 5","4 out of 5","4 out of 5 stars","+29"
"283",9,"Kendre Miller",NO,"RB83","8","2 out of 5","4 out of 5","3 out of 5 stars","-"
"284",9,"Marvin Mims Jr.",DEN,"WR100","10","3 out of 5","4 out of 5","2 out of 5 stars","-"
"285",9,"San Francisco 49ers",SF,"DST17","8","-","-","3 out of 5 stars","-71"
"286",9,"Elijah Sarratt",BAL,"WR101","13","4 out of 5","4 out of 5","4 out of 5 stars","-"
"287",9,"Devin Neal",NO,"RB84","8","2 out of 5","4 out of 5","3 out of 5 stars","-"
"288",9,"Adam Randall",BAL,"RB85","13","3 out of 5","4 out of 5","3 out of 5 stars","+35"
"289",9,"Theo Johnson",NYG,"TE34","8","1 out of 5","5 out of 5","3 out of 5 stars","+10"
"290",9,"Atlanta Falcons",ATL,"DST18","11","-","-","4 out of 5 stars","-31"
"291",9,"Emari Demercado",KC,"RB86","5","1 out of 5","5 out of 5","3 out of 5 stars","+25"
"292",9,"Brashard Smith",KC,"RB87","5","-","-","3 out of 5 stars","-"
"293",9,"Cyrus Allen",KC,"WR102","5","4 out of 5","4 out of 5","2 out of 5 stars","-80"
"294",9,"Eli Stowers",PHI,"TE35","10","4 out of 5","4 out of 5","4 out of 5 stars","-24"
"295",9,"Devin Singletary",NYG,"RB88","8","1 out of 5","5 out of 5","4 out of 5 stars","-26"
"296",9,"Trevor Etienne",CAR,"RB89","5","-","-","1 out of 5 stars","-"
"297",9,"Hollywood Brown",PHI,"WR103","10","-","-","4 out of 5 stars","-"
"298",9,"Tahj Brooks",CIN,"RB90","6","-","-","2 out of 5 stars","-"
"299",10,"New Orleans Saints",NO,"DST19","8","-","-","5 out of 5 stars","-"
"300",10,"Kyle Williams",NE,"WR104","11","-","-","2 out of 5 stars","-"
"301",10,"Mack Hollins",NE,"WR105","11","-","-","2 out of 5 stars","-"
"302",10,"Trey Benson",ARI,"RB91","14","1 out of 5","5 out of 5","2 out of 5 stars","-1"
"303",10,"Kaleb Johnson",PIT,"RB92","9","2 out of 5","5 out of 5","2 out of 5 stars","-6"
"304",10,"Mike Gesicki",CIN,"TE36","6","-","-","3 out of 5 stars","-29"
"305",10,"Isaac Guerendo",SF,"RB93","8","-","-","2 out of 5 stars","-"
"306",10,"Jerome Ford",WAS,"RB94","7","2 out of 5","4 out of 5","4 out of 5 stars","-"
"307",10,"Jarquez Hunter",MIA,"RB95","6","-","-","3 out of 5 stars","-"
"308",10,"Isaiah Bond",CLE,"WR106","11","-","-","3 out of 5 stars","-"
"309",10,"Audric Estime",NO,"RB96","8","-","-","3 out of 5 stars","-"
"310",10,"Jaleel McLaughlin",DEN,"RB97","10","-","-","2 out of 5 stars","-"
"311",10,"Charlie Smyth",NO,"K18","8","-","-","5 out of 5 stars","-"
"312",10,"Indianapolis Colts",IND,"DST20","13","-","-","5 out of 5 stars","-"
"313",10,"Skyler Bell",BUF,"WR107","7","-","-","4 out of 5 stars","-"
"314",10,"Will Shipley",PHI,"RB98","10","-","-","4 out of 5 stars","-"
"315",10,"Chicago Bears",CHI,"DST21","10","-","-","2 out of 5 stars","-96"
"316",10,"Jake Tonges",SF,"TE37","8","-","-","3 out of 5 stars","-37"
"317",10,"Darren Waller",CAR,"TE38","5","-","-","2 out of 5 stars","-24"
"318",10,"Brandon Aiyuk",SF,"WR108","8","2 out of 5","5 out of 5","2 out of 5 stars","-14"
"319",10,"Andrei Iosivas",CIN,"WR109","6","-","-","4 out of 5 stars","-"
"320",10,"Darnell Washington",PIT,"TE39","9","-","-","2 out of 5 stars","-"
"321",10,"DeMario Douglas",NE,"WR110","11","-","-","2 out of 5 stars","-"
"322",10,"Tyreek Hill",FA,"WR111","-","1 out of 5","5 out of 5","-","-122"
"323",10,"Michael Mayer",LV,"TE40","13","-","-","3 out of 5 stars","-21"
"324",10,"Oscar Delp",NO,"TE41","8","4 out of 5","4 out of 5","2 out of 5 stars","-"
"325",10,"Jahan Dotson",ATL,"WR112","11","-","-","3 out of 5 stars","-3"
"326",10,"Elijah Arroyo",SEA,"TE42","11","-","-","3 out of 5 stars","-52"
"327",10,"Charlie Kolar",LAC,"TE43","7","-","-","4 out of 5 stars","-"
"328",10,"Kareem Hunt",FA,"RB99","-","-","-","-","-45"
"329",10,"Erick All Jr.",CIN,"TE44","6","-","-","3 out of 5 stars","-"
"330",10,"Bryce Lance",NO,"WR113","8","-","-","3 out of 5 stars","-"
"331",10,"Carson Beck",ARI,"QB36","14","-","-","2 out of 5 stars","-"
"332",10,"Jalen Tolbert",MIA,"WR114","6","-","-","3 out of 5 stars","-27"
"333",10,"Xavier Hutchinson",HOU,"WR115","8","-","-","3 out of 5 stars","-"
"334",10,"Dallas Cowboys",DAL,"DST22","14","-","-","1 out of 5 stars","-137"
"335",10,"Cole Kmet",CHI,"TE45","10","-","-","2 out of 5 stars","-"
"336",10,"Eli Raridon",NE,"TE46","11","-","-","4 out of 5 stars","-"
"337",11,"Joe Mixon",FA,"RB100","-","-","-","-","-"
"338",11,"Dawson Knox",BUF,"TE47","7","-","-","3 out of 5 stars","-"
"339",11,"J.J. McCarthy",MIN,"QB37","6","-","-","5 out of 5 stars","-"
"340",11,"Brenen Thompson",LAC,"WR116","7","-","-","2 out of 5 stars","-"
"341",11,"Konata Mumpfield",LAR,"WR117","11","-","-","1 out of 5 stars","-"
"342",11,"Cedric Tillman",FA,"WR118","-","-","-","-","-"
"343",11,"Tyler Higbee",LAR,"TE48","11","-","-","4 out of 5 stars","-"
"344",11,"Tez Johnson",TB,"WR119","10","-","-","4 out of 5 stars","-"
"345",11,"Luke McCaffrey",WAS,"WR120","7","-","-","2 out of 5 stars","-"
"346",11,"Bam Knight",ARI,"RB101","14","-","-","2 out of 5 stars","-"
"347",11,"Noah Gray",KC,"TE49","5","-","-","4 out of 5 stars","-"
"348",11,"Kendrick Bourne",ARI,"WR121","14","-","-","2 out of 5 stars","-"
"349",11,"Jalen Royals",KC,"WR122","5","-","-","2 out of 5 stars","-"
"350",11,"Mac Jones",SF,"QB38","8","-","-","1 out of 5 stars","-"
"351",11,"Olamide Zaccheaus",ATL,"WR123","11","-","-","3 out of 5 stars","-"
"352",11,"Max Klare",LAR,"TE50","11","-","-","4 out of 5 stars","-"
"353",11,"Joshua Palmer",BUF,"WR124","7","-","-","4 out of 5 stars","-"
"354",11,"Ja'Tavion Sanders",CAR,"TE51","5","-","-","2 out of 5 stars","-"
"355",11,"Eli Heidenreich",PIT,"RB102","9","-","-","2 out of 5 stars","-"
"356",11,"Treylon Burks",WAS,"WR125","7","-","-","2 out of 5 stars","-"
"357",11,"Jake Elliott",PHI,"K19","10","-","-","5 out of 5 stars","-111"
"358",11,"Justin Fields",KC,"QB39","5","-","-","2 out of 5 stars","-"
"359",11,"Chris Brazzell II",CAR,"WR126","5","-","-","2 out of 5 stars","-"
"360",11,"Carolina Panthers",CAR,"DST23","5","-","-","3 out of 5 stars","-"
"361",11,"Ty Simpson",LAR,"QB40","11","-","-","3 out of 5 stars","-"
"362",11,"Michael Carter",TEN,"RB103","9","-","-","3 out of 5 stars","-"
"363",11,"Jawhar Jordan",HOU,"RB104","8","-","-","4 out of 5 stars","-"
"364",11,"Tyler Bass",BUF,"K20","7","-","-","2 out of 5 stars","-111"
"365",11,"Savion Williams",GB,"WR127","11","-","-","5 out of 5 stars","-"
"366",11,"Malik Benson",LV,"WR128","13","-","-","2 out of 5 stars","-"
"367",11,"Justin Joly",DEN,"TE52","10","-","-","4 out of 5 stars","-"
"368",11,"Raheim Sanders",CLE,"RB105","11","-","-","3 out of 5 stars","-"
"369",11,"New York Giants",NYG,"DST24","8","-","-","1 out of 5 stars","-134"
"370",11,"KaVontae Turpin",DAL,"WR129","14","-","-","2 out of 5 stars","-"
"371",11,"Roman Wilson",PIT,"WR130","9","-","-","3 out of 5 stars","-"
"372",11,"Kalif Raymond",CHI,"WR131","10","-","-","3 out of 5 stars","-"
"373",11,"Tampa Bay Buccaneers",TB,"DST25","10","-","-","4 out of 5 stars","-"
"374",11,"Kevin Coleman Jr.",MIA,"WR132","6","-","-","3 out of 5 stars","-"
"375",11,"Dont'e Thornton Jr.",LV,"WR133","13","-","-","2 out of 5 stars","-"
"376",11,"Roschon Johnson",CHI,"RB106","10","-","-","2 out of 5 stars","-"
"377",11,"Trey Smack",GB,"K21","11","-","-","4 out of 5 stars","-170"
"378",11,"Anthony Richardson Sr.",IND,"QB41","13","-","-","4 out of 5 stars","-"
"379",11,"Colbie Young",CIN,"WR134","6","-","-","4 out of 5 stars","-"
"380",11,"Noah Fant",NO,"TE53","8","-","-","2 out of 5 stars","-"
"381",11,"Zavion Thomas",CHI,"WR135","10","-","-","3 out of 5 stars","-"
"382",11,"CJ Daniels",LAR,"WR136","11","-","-","1 out of 5 stars","-"
"383",11,"Jaylin Lane",WAS,"WR137","7","-","-","2 out of 5 stars","-"
"384",11,"Joe Flacco",CIN,"QB42","6","-","-","3 out of 5 stars","-"
"385",11,"Tennessee Titans",TEN,"DST26","9","-","-","2 out of 5 stars","-"
"386",11,"Cincinnati Bengals",CIN,"DST27","6","-","-","4 out of 5 stars","-"
"387",11,"Zane Gonzalez",FA,"K22","-","-","-","-","-"
"388",11,"Luke Musgrave",GB,"TE54","11","-","-","2 out of 5 stars","-"
"389",11,"Tommy Tremble",CAR,"TE55","5","-","-","2 out of 5 stars","-"
"390",11,"John Metchie III",CAR,"WR138","5","-","-","2 out of 5 stars","-"
"391",11,"Jordan Whittington",LAR,"WR139","11","-","-","1 out of 5 stars","-"
"392",11,"Austin Hooper",ATL,"TE56","11","-","-","3 out of 5 stars","-"
"393",11,"Jam Miller",NE,"RB107","11","-","-","2 out of 5 stars","-"
"394",11,"J'Mari Taylor",JAC,"RB108","7","-","-","4 out of 5 stars","-"
"395",11,"Phil Mafah",DAL,"RB109","14","-","-","4 out of 5 stars","-"
"396",11,"Joe Milton III",DAL,"QB43","14","-","-","2 out of 5 stars","-"
"397",11,"Devontez Walker",BAL,"WR140","13","-","-","4 out of 5 stars","-"
"398",11,"Ben Sinnott",WAS,"TE57","7","-","-","1 out of 5 stars","-"
"399",11,"Mitchell Evans",CAR,"TE58","5","-","-","2 out of 5 stars","-"
"400",11,"Rasheen Ali",BAL,"RB110","13","-","-","3 out of 5 stars","-"
"401",11,"Barion Brown",NO,"WR141","8","-","-","3 out of 5 stars","-"
"402",11,"Nick Folk",ATL,"K23","11","-","-","0 out of 5 stars","-154"
"403",11,"Demarcus Robinson",SF,"WR142","8","-","-","2 out of 5 stars","-"
"404",11,"Nick Westbrook-Ikhine",IND,"WR143","13","-","-","4 out of 5 stars","-"
"405",11,"Miami Dolphins",MIA,"DST28","6","-","-","3 out of 5 stars","-"
"406",11,"Kyle Juszczyk",SF,"RB111","8","-","-","2 out of 5 stars","-"
"407",11,"Marcus Mariota",WAS,"QB44","7","-","-","2 out of 5 stars","-"
"408",11,"Jameis Winston",NYG,"QB45","8","-","-","4 out of 5 stars","-"
"409",11,"Tutu Atwell",LAR,"WR144","11","-","-","1 out of 5 stars","-"
"410",11,"Ashton Dulin",IND,"WR145","13","-","-","4 out of 5 stars","-"
"411",11,"Austin Ekeler",FA,"RB112","-","-","-","-","-159"
"412",11,"Cade Klubnik",NYJ,"QB46","13","-","-","4 out of 5 stars","-"
"413",11,"Greg Dortch",DET,"WR146","6","-","-","4 out of 5 stars","-"
"414",11,"Daniel Bellinger",TEN,"TE59","9","-","-","3 out of 5 stars","-"
"415",11,"Sione Vaki",DET,"RB113","6","-","-","5 out of 5 stars","-"
"416",12,"John Bates",WAS,"TE60","7","-","-","1 out of 5 stars","-"
"417",12,"Deion Burks",IND,"WR147","13","-","-","4 out of 5 stars","-"
"418",12,"Damien Martinez",GB,"RB114","11","-","-","4 out of 5 stars","-"
"419",12,"Dameon Pierce",PHI,"RB115","10","-","-","4 out of 5 stars","-"
"420",12,"Las Vegas Raiders",LV,"DST29","13","-","-","4 out of 5 stars","-"
"421",12,"Dyami Brown",WAS,"WR148","7","-","-","2 out of 5 stars","-"
"422",12,"Terrell Jennings",FA,"RB116","-","-","-","-","-"
"423",12,"Daniel Carlson",NO,"K24","8","-","-","5 out of 5 stars","-"
"424",12,"Marlin Klein",HOU,"TE61","8","-","-","4 out of 5 stars","-"
"425",12,"Elijah Higgins",ARI,"TE62","14","-","-","2 out of 5 stars","-"
"426",12,"Jackson Hawes",BUF,"TE63","7","-","-","3 out of 5 stars","-"
"427",12,"Tai Felton",MIN,"WR149","6","-","-","5 out of 5 stars","-"
"428",12,"Blake Grupe",IND,"K25","13","-","-","4 out of 5 stars","-"
"429",12,"Tyler Goodson",ATL,"RB117","11","-","-","2 out of 5 stars","-"
"430",12,"Zavier Scott",MIN,"RB118","6","-","-","4 out of 5 stars","-"
"431",12,"Chad Ryland",ARI,"K26","14","-","-","2 out of 5 stars","-"
"432",12,"Joey Slye",TEN,"K27","9","-","-","4 out of 5 stars","-"
"433",12,"Josh Oliver",MIN,"TE64","6","-","-","4 out of 5 stars","-"
"434",12,"Ryan Fitzgerald",CAR,"K28","5","-","-","0 out of 5 stars","-"
"435",12,"Will Kacmarek",MIA,"TE65","6","-","-","5 out of 5 stars","-"
"436",12,"Brandon McManus",FA,"K29","-","-","-","-","-"
"437",12,"Washington Commanders",WAS,"DST30","7","-","-","2 out of 5 stars","-"
"438",12,"Tanner Koziol",JAC,"TE66","7","-","-","3 out of 5 stars","-"
"439",12,"New York Jets",NYJ,"DST31","13","-","-","4 out of 5 stars","-"
"440",12,"Arizona Cardinals",ARI,"DST32","14","-","-","2 out of 5 stars","-"
"441",12,"Adam Trautman",DEN,"TE67","10","-","-","4 out of 5 stars","-"
"442",12,"Tim Patrick",NYJ,"WR150","13","-","-","4 out of 5 stars","-"
"443",12,"Odell Beckham Jr.",NYG,"WR151","8","-","-","4 out of 5 stars","-"
"444",12,"Robert Henry Jr.",WAS,"RB119","7","-","-","4 out of 5 stars","-"
"445",12,"Ben Sauls",NYG,"K30","8","-","-","2 out of 5 stars","-"
"446",12,"Jimmy Horn Jr.",CAR,"WR152","5","-","-","2 out of 5 stars","-"
"447",12,"Zach Ertz",FA,"TE68","-","-","-","-","-"
"448",12,"Tommy Myers",FA,"TE69","-","-","-","-","-"
"449",12,"Spencer Shrader",IND,"K31","13","-","-","4 out of 5 stars","-"
"450",12,"Ronnie Rivers",LAR,"RB120","11","-","-","5 out of 5 stars","-"
"451",12,"Hunter Luepke",DAL,"RB121","14","-","-","4 out of 5 stars","-"
"452",12,"Drew Stevens",WAS,"K32","7","-","-","5 out of 5 stars","-"
"453",12,"Marquez Valdes-Scantling",DAL,"WR153","14","-","-","2 out of 5 stars","-"
"454",12,"Jonnu Smith",GB,"TE70","11","-","-","2 out of 5 stars","-"
"455",12,"Dylan Laube",LV,"RB122","13","-","-","2 out of 5 stars","-"
"456",12,"Khalil Herbert",SF,"RB123","8","-","-","2 out of 5 stars","-"
"457",12,"Matt Hibner",BAL,"TE71","13","-","-","4 out of 5 stars","-"
"458",12,"Van Jefferson",WAS,"WR154","7","-","-","2 out of 5 stars","-"
"459",12,"Antonio Gibson",FA,"RB124","-","-","-","-","-138"
"460",12,"Isaiah Williams",FA,"WR155","-","-","-","-","-"
"461",12,"Foster Moreau",HOU,"TE72","8","-","-","4 out of 5 stars","-"
"462",12,"Mitch Tinsley",CIN,"WR156","6","-","-","4 out of 5 stars","-"
"463",12,"Luke Schoonmaker",DAL,"TE73","14","-","-","2 out of 5 stars","-"
"464",12,"Xavier Smith",LAR,"WR157","11","-","-","1 out of 5 stars","-"
"465",12,"Mo Alie-Cox",IND,"TE74","13","-","-","3 out of 5 stars","-"
"466",12,"Jahdae Walker",CHI,"WR158","10","-","-","3 out of 5 stars","-"
"467",12,"Drew Sample",CIN,"TE75","6","-","-","3 out of 5 stars","-139"
"468",12,"Nate Boerkircher",JAC,"TE76","7","-","-","3 out of 5 stars","-"
"469",12,"Tyrod Taylor",GB,"QB47","11","-","-","4 out of 5 stars","-"
"470",12,"Reggie Virgil",ARI,"WR159","14","-","-","2 out of 5 stars","-"
"471",12,"Jake Moody",FA,"K33","-","-","-","-","-"
"472",12,"Jason Sanders",NYJ,"K34","13","-","-","2 out of 5 stars","-"
"473",12,"Jeremy Ruckert",NYJ,"TE77","13","-","-","4 out of 5 stars","-"
"474",12,"Cade Stover",HOU,"TE78","8","-","-","4 out of 5 stars","-"
"475",12,"Jeremy McNichols",WAS,"RB125","7","-","-","4 out of 5 stars","-"
"476",12,"Durham Smythe",BAL,"TE79","13","-","-","4 out of 5 stars","-"
"477",12,"Lil'Jordan Humphrey",DEN,"WR160","10","-","-","2 out of 5 stars","-"
"478",12,"Roman Hemby",LV,"RB126","13","-","-","2 out of 5 stars","-"
"479",12,"Riley Leonard",IND,"QB48","13","-","-","4 out of 5 stars","-"
"480",12,"Jelani Woods",NYJ,"TE80","13","-","-","4 out of 5 stars","-149"
"481",12,"Brock Wright",DET,"TE81","6","-","-","3 out of 5 stars","-"
"482",12,"Tanner Hudson",CIN,"TE82","6","-","-","3 out of 5 stars","-143"
"483",12,"KeAndre Lambert-Smith",LAC,"WR161","7","-","-","2 out of 5 stars","-"
"484",12,"Justin Watson",HOU,"WR162","8","-","-","3 out of 5 stars","-"
"485",12,"Jacob Saylors",DET,"RB127","6","-","-","5 out of 5 stars","-"
"486",12,"Frank Gore Jr.",BUF,"RB128","7","-","-","2 out of 5 stars","-"
"487",12,"Nate Adkins",DEN,"TE83","10","-","-","4 out of 5 stars","-"
"488",12,"DeAndre Hopkins",BAL,"WR163","13","-","-","4 out of 5 stars","-"
"489",12,"Efton Chism III",NE,"WR164","11","-","-","2 out of 5 stars","-"
"490",12,"Alec Ingold",LAC,"RB129","7","-","-","3 out of 5 stars","-"
"491",12,"Brycen Tremayne",CAR,"WR165","5","-","-","2 out of 5 stars","-"
"492",12,"Josh Cameron",JAC,"WR166","7","-","-","4 out of 5 stars","-"
"493",12,"Jalen Brooks",ARI,"WR167","14","-","-","2 out of 5 stars","-"
"494",12,"Xavier Restrepo",TEN,"WR168","9","-","-","3 out of 5 stars","-"
"495",12,"Max Bredeson",MIN,"RB130","6","-","-","4 out of 5 stars","-"
"496",12,"Jaret Patterson",LAC,"RB131","7","-","-","3 out of 5 stars","-"
"497",12,"Patrick Ricard",NYG,"RB132","8","-","-","4 out of 5 stars","-"
"498",12,"Adam Prentice",DEN,"RB133","10","-","-","2 out of 5 stars","-"
"499",12,"Reggie Gilliam",NE,"RB134","11","-","-","2 out of 5 stars","-"
"500",12,"British Brooks",HOU,"RB135","8","-","-","4 out of 5 stars","-"
"501",12,"Lan Larison",NE,"RB136","11","-","-","2 out of 5 stars","-"
"502",12,"Chris Blair",ATL,"WR169","11","-","-","3 out of 5 stars","-"
"503",12,"Jake Browning",TB,"QB49","10","-","-","2 out of 5 stars","-"
"504",12,"Moliki Matavao",NO,"TE84","8","-","-","2 out of 5 stars","-"
"505",12,"Sam Roush",CHI,"TE85","10","-","-","2 out of 5 stars","-"
"506",12,"Elijah Moore",PHI,"WR170","10","-","-","4 out of 5 stars","-"
"507",12,"Josh Williams",TB,"RB137","10","-","-","2 out of 5 stars","-"
"508",12,"Quinn Ewers",MIA,"QB50","6","-","-","3 out of 5 stars","-"
"509",12,"Josh Cuevas",BAL,"TE86","13","-","-","4 out of 5 stars","-"
"510",12,"Jacob Cowing",SF,"WR171","8","-","-","2 out of 5 stars","-181"
"511",12,"Michael Burton",CLE,"RB138","11","-","-","3 out of 5 stars","-"
"512",12,"Nathan Carter",ATL,"RB139","11","-","-","2 out of 5 stars","-"
"513",12,"Kene Nwangwu",NYJ,"RB140","13","-","-","3 out of 5 stars","-"
"514",12,"Cedrick Wilson Jr.",FA,"WR172","-","-","-","-","-"
"515",12,"Gardner Minshew II",ARI,"QB51","14","-","-","2 out of 5 stars","-"
"516",13,"Davis Allen",LAR,"TE87","11","-","-","4 out of 5 stars","-"
"517",13,"Khalil Dinkins",SF,"TE88","8","-","-","3 out of 5 stars","-"
"518",13,"David Sills V",TB,"WR173","10","-","-","4 out of 5 stars","-"
"519",13,"Theo Wease Jr.",MIA,"WR174","6","-","-","3 out of 5 stars","-"
"520",13,"Myles Price",MIN,"WR175","6","-","-","5 out of 5 stars","-"
"521",13,"Lew Nichols III",PIT,"RB141","9","-","-","2 out of 5 stars","-"
"522",13,"Luke Farrell",SF,"TE89","8","-","-","3 out of 5 stars","-"
"523",13,"Tyler Lockett",LV,"WR176","13","-","-","2 out of 5 stars","-"
"524",13,"Scotty Miller",CHI,"WR177","10","-","-","3 out of 5 stars","-"
"525",13,"Payne Durham",TB,"TE90","10","-","-","2 out of 5 stars","-"
"526",13,"Derius Davis",LAC,"WR178","7","-","-","2 out of 5 stars","-"
"527",13,"Ben Sims",MIA,"TE91","6","-","-","5 out of 5 stars","-"
"528",13,"Noah Whittington",HOU,"RB142","8","-","-","4 out of 5 stars","-"
"529",13,"Velus Jones Jr.",SEA,"WR179","11","-","-","3 out of 5 stars","-"
"530",13,"Ty Chandler",NO,"RB143","8","-","-","3 out of 5 stars","-"
"531",13,"Blake Whiteheart",CLE,"TE92","11","-","-","3 out of 5 stars","-206"
"532",13,"Jalen Reagor",MIA,"WR180","6","-","-","3 out of 5 stars","-"
"533",13,"Josh Whyle",GB,"TE93","11","-","-","2 out of 5 stars","-"
"534",13,"Brevyn Spann-Ford",DAL,"TE94","14","-","-","2 out of 5 stars","-"
"535",13,"Michael Woods II",DEN,"WR181","10","-","-","2 out of 5 stars","-"
"536",13,"Cash Jones",ATL,"RB144","11","-","-","2 out of 5 stars","-"
"537",13,"Travis Homer",PIT,"RB145","9","-","-","2 out of 5 stars","-"
"538",13,"Julian Hill",NE,"TE95","11","-","-","4 out of 5 stars","-"
"539",13,"Kevin Austin Jr.",NO,"WR182","8","-","-","3 out of 5 stars","-"
"540",13,"Jaydn Ott",KC,"RB146","5","-","-","3 out of 5 stars","-"
"541",13,"Jared Wayne",HOU,"WR183","8","-","-","3 out of 5 stars","-"
"542",13,"Mason Tipton",NO,"WR184","8","-","-","3 out of 5 stars","-"
"543",13,"Sincere McCormick",SF,"RB147","8","-","-","2 out of 5 stars","-"
"544",13,"Tyrell Shavers",BUF,"WR185","7","-","-","4 out of 5 stars","-"
"545",13,"Miles Davis",CAR,"RB148","5","-","-","1 out of 5 stars","-"
"546",13,"Jake Bobo",SEA,"WR186","11","-","-","3 out of 5 stars","-"
"547",13,"Kaden Wetjen",PIT,"WR187","9","-","-","3 out of 5 stars","-"
"548",13,"Jeshaun Jones",MIN,"WR188","6","-","-","5 out of 5 stars","-"
"549",13,"Casey Washington",CAR,"WR189","5","-","-","2 out of 5 stars","-"
"550",13,"Kameron Johnson",TB,"WR190","10","-","-","4 out of 5 stars","-"
"551",13,"Tyler Badie",DEN,"RB149","10","-","-","2 out of 5 stars","-"
"552",13,"Michael Bandy",DEN,"WR191","10","-","-","2 out of 5 stars","-"
"553",13,"Mecole Hardman Jr.",BUF,"WR192","7","-","-","4 out of 5 stars","-266"
"554",13,"Quentin Skinner",BUF,"WR193","7","-","-","4 out of 5 stars","-"
"555",13,"Ahmani Marshall",CLE,"RB150","11","-","-","3 out of 5 stars","-"
"556",13,"Arian Smith",NYJ,"WR194","13","-","-","4 out of 5 stars","-"
"557",13,"Jonathan Mingo",DAL,"WR195","14","-","-","2 out of 5 stars","-"
"558",13,"Jordan Watkins",SF,"WR196","8","-","-","2 out of 5 stars","-"
"559",13,"Ben Skowronek",PIT,"WR197","9","-","-","3 out of 5 stars","-"
"560",13,"Skyy Moore",GB,"WR198","11","-","-","5 out of 5 stars","-"
"561",13,"Bo Melton",GB,"WR199","11","-","-","5 out of 5 stars","-"
"562",13,"Malachi Corley",CLE,"WR200","11","-","-","3 out of 5 stars","-"
"563",13,"Anthony Gould",IND,"WR201","13","-","-","4 out of 5 stars","-"
"564",13,"Darius Cooper",PHI,"WR202","10","-","-","4 out of 5 stars","-"
"565",13,"Jakobie Keeney-James",PIT,"WR203","9","-","-","3 out of 5 stars","-"
"566",13,"Coleman Owen",IND,"WR204","13","-","-","4 out of 5 stars","-"
"567",13,"Isaiah Williams",NYJ,"WR205","13","-","-","4 out of 5 stars","-"
"568",13,"Anderson Castle",IND,"RB151","13","-","-","4 out of 5 stars","-"
"569",13,"David Moore",CAR,"WR206","5","-","-","2 out of 5 stars","-"
"570",13,"Maurice Alexander",CHI,"WR207","10","-","-","3 out of 5 stars","-"
"571",13,"Cody White",SEA,"WR208","11","-","-","3 out of 5 stars","-"
"572",13,"Nikko Remigio",KC,"WR209","5","-","-","2 out of 5 stars","-"
"573",13,"Devin Duvernay",ARI,"WR210","14","-","-","2 out of 5 stars","-"
"574",13,"Eric Gray",NYG,"RB152","8","-","-","4 out of 5 stars","-"
"575",13,"Pierre Strong Jr.",GB,"RB153","11","-","-","4 out of 5 stars","-"
"576",13,"Dareke Young",LV,"WR211","13","-","-","2 out of 5 stars","-"
"577",13,"Gage Larvadain",CLE,"WR212","11","-","-","3 out of 5 stars","-"
"578",13,"Drake Dabney",GB,"TE96","11","-","-","2 out of 5 stars","-"
"579",13,"Miles Kitselman",FA,"TE97","-","-","-","-","-"
"580",13,"Miles Sanders",FA,"RB154","-","-","-","-","-"
"581",13,"Britain Covey",PHI,"WR213","10","-","-","4 out of 5 stars","-"
"582",13,"Tyler Conklin",DET,"TE98","6","-","-","3 out of 5 stars","-"
"583",13,"DeeJay Dallas",JAC,"RB155","7","-","-","4 out of 5 stars","-"
"584",13,"Jaheim Bell",PIT,"TE99","9","-","-","2 out of 5 stars","-"
"585",13,"Michael Trigg",DAL,"TE100","14","-","-","2 out of 5 stars","-"
"586",13,"Ke'Shawn Williams",CIN,"WR214","6","-","-","4 out of 5 stars","-"
